['GiletsJaunes'],"RT @RachidaElAzzz: En bas de @mediapart, ce soir, des #GiletsJaunes demandent s’ils peuvent se rassembler pour le droit de savoir, la liber…",catael,France
['JusticeSociale'],RT @attac_fr: Attac est présent dans la manifestation parisienne pour défendre la nécessité de faire la jonction entre #JusticeSociale #Jus…,Figuette44,Nantes
"['giletsjaunes', 'Amazon']",RT @emmanuelmaurel: Cette décision ignoble ne peut rester sans réponse politique et juridique. #giletsjaunes #Amazon https://t.co/ifdAY6gGx2,LuranData,"Sardieu, Dauphiné"
['LoiAnticasseurs'],@SoMabrouk @CNEWS - Elle va être belle la #LoiAnticasseurs quand on voit qu aujourd’hui on fait retirer des gilets… https://t.co/EOK8F5CEU9,JulienKemper,"Quimper, France"
"['GreveGenerale5fevrier', 'GreveGenerale', 'GiletsJaunes']","RT @ChalecosAmarill: MAXIMA DIFUSION
PARIS - Quelques tensions à l’avant du cortège

#GreveGenerale5fevrier #GreveGenerale #GiletsJaunes #C…",cyberbull51,MEXICO
['GiletsJaunes'],"RT @GiletsJaunesGo: 🔴 « Tout le monde se bat pour Médiapart », chanté par les #GiletsJaunes venus soutenir ce soir le journal au pied du si…",cioran2018,
"['LCI', 'Acte12']",RT @MMonlau: Olivier Duhamel à Gérard Miller #LCI #Acte12 : « Moi qui suis aussi âgé que vous je n’ai jamais vu une telle importance donnée…,show_shat,Corsica🇫🇷ArlesVenezia🇮🇹Ichnusa
[],"RT @patrick_edery: 📺On parle beaucoup des réseaux sociaux, mais la TV reste LE principal outil de manipulation des masses!
Il suffit que le…",JanDyner,
[],"@Naboleon_3 @Kakynette23 Les 3% de déficit prévu par les traités européens peut-être ? 😃 Ah! oui, j'oubliais que vu… https://t.co/uYvam35JKJ",TWISTAGAIN88,
"['GiletsJaunes', 'Tapie', 'Macron']","RT @P_Scemama: 60% des Français ne veulent pas d’une liste #GiletsJaunes aux Européennes.
Les basses manœuvres de #Tapie et #Macron, pour t…",Zazou594,
"['ViolencesPolicières', 'ActeXII']","RT @ZadStreet: #ViolencesPolicières #ActeXII le gars n'oppose aucune résistance à une meute de flics qui l'interpellent ""à la française"" co…",do_marie,
['Médiapart'],"RT @GiletsJaunesGo: 🔴 Ce soir, une centaine de gilets jaunes étaient présents au pied du siège de #Médiapart pour leur affirmer de leur sou…",cioran2018,
