[],"RT @Saufalivus: ""Une langue complètement décollée du réel...""

Entre parenthèse merci @Francois_Ruffin pour ne pas céder pied à pied ! Brav…",Atlas57625404,
"['Manifestation', 'GiletsJaunes']",RT @Mediapart: «Cela peut être le début du chapitre deux de notre mouvement» #Manifestation #GiletsJaunes https://t.co/0j4KOgq5xd,Dudul75445530,
"['GiletJaune', 'GiletsJaunes', 'assembleenationale', 'senat']","RT @GiletsJaunesFr: La France sous protection ...
https://t.co/hvnYtCFFdx
#GiletJaune #GiletsJaunes #assembleenationale #senat #droitsdelho…",khomytov2013,"Сочи, Краснодарский край"
"['Fillon', 'GrandDebatNational']","RT @DubiefMarc: ❌L'affaire #Fillon a occulté le débat lors de la présidentielle
❌Le #GrandDebatNational occulte le débat sur la crise des #…",BabaPasCool,
"['Benalla', 'Macron']","RT @BBR4369: 📽️ 🎶 ""#Benalla, Benalla, même si vous n'en voulez pas, y'a Benalla.. Il n'ira pas en prison, parce que c'est le Pote à #Macron…",soso13390,
"['5fevrier2019', 'cgt', 'giletsjaunes', 'Paris']",RT @catherinegaste: #5fevrier2019 « L’argent de la fraude fiscale on le veut pour l’hôpital »  #cgt #giletsjaunes #Paris https://t.co/xHqmE…,Darioritum,
"['GreveGenerale5fevrier', 'CGT', 'ExtrêmeGauche', 'GiletsJaunes']","RT @YannisPSD: #GreveGenerale5fevrier 
14.000 manifestants dans les rues de Paris à l'appel de : 
- #CGT,
- #ExtrêmeGauche 
- #GiletsJaunes…",lafeevivianeb,Marseille au bord de la mer #RégionSud
['GiletsJaunes'],"RT @DavidCarter_Fra: Merci aux #GiletsJaunes de ne pas prendre l'Italie comme exemple:
- pays en récession economique
- pas de SMIC en Ital…",ParisWalkingMan,
[],"RT @juliehaviland2: A part ça, s'ils vont tous autant se vautrer chez Russia Today, il faudrait cesser de faire croire que c'est simplement…",NiLoutre,Rennes
"['GiletsJaunes', 'migrants', 'tyranniejudiciaire']",RT @jylgallou: Les #GiletsJaunes ne bénéficient pas de la même mansuétude des juges que les #migrants clandestins  #tyranniejudiciaire #2Po…,darkwador24,patriote de France
[],"Endormir les jeunes, après avoir endormi les parents.
Mes bras m’en tombent.",GuyLetyn,France
['Lyon'],RT @Libre_Insolent: #Lyon : la police nationale se met hors la loi en obligeant les manifestants à retirer leur gilet jaune pour circuler l…,LoloAgathe,Maine-et-Loire
['GiletsJaunes'],"RT @Tancrede_Crptrs: ""Il y a une différence entre les manifestants de la CGT et les #GiletsJaunes.
La CGT se mobilise la semaine alors que…",JulesAntoine1,"Midi-Pyrénées, France"
['GiletsJaunes'],RT @EnDebout: #GiletsJaunes voici les noms des 50 députés qui s'abstiennent sur une loi liberticide... Quand il y a une loi liberticide (pr…,CorinneDeltombe,"Arras, France"
['LREM'],"@LEDOUAISIEN @Sonia_Krimi Pour la Députée #LREM @Sonia_Krimi ""on a raté une forme de démocratisation de la société.… https://t.co/7Be8t1N3Y7",Kalagan974,
['Rodrigues'],"RT @shinylucille: @elianederaisin J’ai reçu 1 tweet avec ses délits , je n étais pas au courant #Rodrigues. Il la ramène en grand défenseur…",Sergio7712,région parisienne
"['GreveGenerale5fevrier', 'GreveGenerale', 'GiletsJaunes']","RT @ChalecosAmarill: MAXIMA DIFUSION
PARIS - Quelques tensions à l’avant du cortège

#GreveGenerale5fevrier #GreveGenerale #GiletsJaunes #C…",psandresg,Bogotá (COL)
['GiletsJaunes'],"RT @OnZeLeft: Ce livre ""#GiletsJaunes l'imposture"" d'un auteur n’aimant pas Macron, semble bien traiter l'arnaque du mouvement : hallucinan…",jeamarc4444,rezé
"['Amazon', 'GiletsJaunes']",RT @tvlofficiel: 🏭 Plusieurs salariés français d'#Amazon qui avaient soutenu des actions ou des propos des #GiletsJaunes ont été licenciés.…,_ercker,"Alsace, France"
['Mediapart'],RT @RemyBuisine: DIRECT - Rassemblement de soutien à #Mediapart devant les locaux de la rédaction près de 30H après la tentative de perquis…,roulekiboule,Paris
['Cavous'],"RT @genton64: #Cavous La claque qu'elle a prit la @BabethLemoine .Elle a essayé de prendre @SebLecornu en défaut.😂Cela a été"" hum.hum.oui..…",Sergio7712,région parisienne
[],"RT @Modem17: Ah, Jérome Rodriguez est énervé.
Licencié en 2016 pour faute grave (vol et escroquerie) selon @le_Parisien, ce monsieur s'est-…",Foxalfa91,
"['EmmanuelMacron', 'MLP']","RT @Abbe_Rezina: La cocaïne a rendu #EmmanuelMacron totalement parano, et il se croit lucide ce junkie !

#MLP : « Quand il nous explique q…",calvese,
[],"RT @lUMPmatuer: ""Pascal, autre Gilet jaune, était aussi présent le jour des faits relatés.
« Je travaille dans le milieu médical. Lorsque j…",gbo_1,
[],"RT @ChalecosAmarill: Estamos en guerra!
De que color son las rosas?
@EmmanuelMacron
Nous sommes en guerre !
Quelle couleur les Roses ?
#NoA…",soytodosbuenos,
"['Grève', 'Huelga', 'France', 'Francia', 'NEOLYNERALISME', 'GiletsJaunes']","RT @Yo_NoLo_Vote: Immense #Grève #Huelga en #France #Francia
Les gens Digne
#NEOLYNERALISME INHUMAIN N'A PAS DE FRONTIÈRES
#GiletsJaunes #G…",Mckmurray,
"['manipulation', 'GiletsJaunes', 'macron', 'Européennes2019']","RT @TlRdacteur: @FCOUILBAULT1 JE ne crois pas à ces sondages, baromètre... #manipulation #GiletsJaunes #macron #Européennes2019",philomenecotta,occitanie
"['GiletsJaunes', 'syndicats', 'GreveGenerale5Fevrier']","RT @PureTele: ⚡️LYON / Beaucoup de #GiletsJaunes et des membres de divers #syndicats dans la rue pour la #GreveGenerale5Fevrier 
https://t.…",Fdbfrancois,
"['Nice', 'GiletsJaunes']","RT @PureTele: ⚡️NICE / Vers un record de mobilisation sur le territoire 🇫🇷 ? À #Nice, les #GiletsJaunes sont très nombreux à manifester act…",calvese,
"['GrèveGénérale5Février', 'GrèveGénéraleIllimitée', 'GiletsJaunes', 'CGT']",RT @OnZeLeft: Donc la méga #GrèveGénérale5Février/#GrèveGénéraleIllimitée avec #GiletsJaunes + syndicats tel #CGT : 14'000 à Paris (comptag…,Lengocduyvu,France
"['giletsjaunes', 'Melenchon', 'LePen', 'Wauquiez']",RT @Apostiller1: https://t.co/IJWO72Jii1  le mort @EmmanuelMacron vous salue bien ! Merci #giletsjaunes #Melenchon #LePen et #Wauquiez 😂 ch…,CarolineCamill4,"Paris, France"
"['GiletsJaunes', 'Paris']","#GiletsJaunes, le barreau de #Paris, s'effarouche mais il ne fait rien c'est pour ça qu'on l'appelle le barreau.… https://t.co/aUV0a4dM5R",JohnnyBongoo,"Paris, France"
"['GiletsJaunes', 'syndicats', 'Macron']","RT @tvlofficiel: 🎥 Au JT de ce soir :
- #GiletsJaunes et #syndicats : attrape-moi si tu peux !
- Banlieues : #Macron en marche vers le clie…",calvese,
"['GreveGenerale5fevrier', 'GreveGenerale', 'GiletsJaunes']","RT @ChalecosAmarill: MAXIMA DIFUSION
PARIS - Quelques tensions à l’avant du cortège

#GreveGenerale5fevrier #GreveGenerale #GiletsJaunes #C…",LenAngelLeyva1,Bogota 
"['GreveGenerale5fevrier', 'GiletsJaunes']","RT @SartiAnthony: Les forces de l'ordre qui tabassent des grévistes à Paris. 
#GreveGenerale5fevrier 
#GiletsJaunes https://t.co/NL1qQEEsG7",cathyk69,France
[],RT @duchemeu: @quatremer actuellement on collectionne les andouilles maxime Nicole en fait aussi partie ainsi que celui qui voulait placer…,Boidin32401314,
"['convergeancedesluttes', 'GiletsJaunes', 'giletsRouges']",RT @BozonnetThomas: Lyon Bellecour...#convergeancedesluttes #GiletsJaunes #giletsRouges https://t.co/zxpaOIOr1h,LetisseJ,
"['5février', 'Climat']",RT @GiletsJaunesGo: 🔴 Le climat n’a pas été oublié ce mardi #5février. Les Français réclament un changement du système actuel. #Climat #Grè…,piresmagali,vivonne
[],"RT @tcabarrus: En attendant des chiffres précis, et au vu des photos qui circulent sur internet, on peut dire que c'est un vrai flop. Et qu…",Sergio7712,région parisienne
['GiletsJaunes'],"RT @edwyplenel: Pour la première fois, #GiletsJaunes et syndicats ont défilé ensemble, un peu partout en France. Parmi les manifestants à P…",Dupont54867120,Pays de la Loire
['France'],RT @PCEAragon: Des mois de violences policières et de répression provoquées par le Régime de Nicolás Mad... par @EmmanuelMacron en #France…,osgdp08,"Lyon, France"
"['GreveGenerale5fevrier', 'GreveGenerale', 'GiletsJaunes']","RT @ChalecosAmarill: MAXIMA DIFUSION
PARIS - Quelques tensions à l’avant du cortège

#GreveGenerale5fevrier #GreveGenerale #GiletsJaunes #C…",Dama_Tarot,"Los Andes, Chile"
[],"RT @CtrlAltDroite: ""L'open society (...) est la grande fakenews de la mondialisation"" (Christophe Guilluy) ou comment mettre les bobos et l…",BecPascale,
"['LoiAntiCasseurs', 'barreaudeParis']","RT @Avocats_Paris: #LoiAntiCasseurs: ⁦@BasileAder, vice-bâtonnier du #barreaudeParis, s'alarme sur ⁦@Europe1⁩ des dispositions de la loi ""a…",CatiMin18495202,
['GiletsJaunes'],RT @BrunoPaumard: #GiletsJaunes La minute Boulo en ce jour de début de grève générale pour la dissolution de l’assemblée nationale et le re…,BertrandLauren9,
"['GiletsJaunes', 'Toulouse', 'Cgt']",RT @chriscoutens: #GiletsJaunes #Toulouse # manif GJs #Cgt journalistes. Chaînes d’infos tendus en ce début de manif jauge moyenne environ…,JLucANTO,
['Macron'],"RT @PureTele: ⚡️ EVRY-COURCOURONNES / Vidéo exclusive ⚠️ de l’arrivée du président #Macron dans le cadre du grand débat national, aujourd’h…",agacha4,"Lyon, France"
"['ActeXII', 'GiletsJaunes']","RT @PureTele: ⚡️BORDEAUX - CHOC ⚠️ / Durant l’#ActeXII des #GiletsJaunes, un photographe qui réalise une vidéo est visé par 2 policiers…",gbo_1,
"['Fillon', 'GrandDebatNational']","RT @DubiefMarc: ❌L'affaire #Fillon a occulté le débat lors de la présidentielle
❌Le #GrandDebatNational occulte le débat sur la crise des #…",OlivierMerkel,Andorre
['GiletsJaunes'],"RT @RachidaElAzzz: En bas de @mediapart, ce soir, des #GiletsJaunes demandent s’ils peuvent se rassembler pour le droit de savoir, la liber…",docfores,
['Lyon'],RT @Libre_Insolent: #Lyon : la police nationale se met hors la loi en obligeant les manifestants à retirer leur gilet jaune pour circuler l…,MichelSain,42000 Sainté France
"['Jupiter', 'Janus', 'Macron']","RT @Saufalivus: N'est pas #Jupiter qui veut, mais quiconque peut être #Janus et #Macron ne s'en prive pas ! (Voir la vidéo ci-dessous de #R…",AgatheNRV,France
"['GreveGenerale5fevrier', 'GreveGenerale', 'GiletsJaunes']","RT @ChalecosAmarill: MAXIMA DIFUSION
PARIS - Quelques tensions à l’avant du cortège

#GreveGenerale5fevrier #GreveGenerale #GiletsJaunes #C…",JoLuHerTo,Las Palmas de Gran Canaria 
"['GiletsJaunes', 'Barnaba']","RT @adia66: Leaders de #GiletsJaunes, récapitulons, nous avons:
- #Barnaba payé à ne rien foutre et qui se plaint de son pouvoir d'achat
-…",Paupol_du_Panie,
['GiletsJaunes'],"RT @Republicains_An: ""Les #GiletsJaunes ont mis en avant le ras-le-bol fiscal des classes moyennes et l’injustice de vos décisions en matiè…",SaintVaast2,
"['giletsjaunes', 'ActeXIII']",RT @CarsonMacCuller: Les blocages reprennent de plus belle. Ne rien lâcher. Rien. #giletsjaunes #ActeXIII https://t.co/UcZvfpvWJK,gugussette1,Alsace France
"['DirectAN', 'LR', 'RN']","RT @Deputee_Obono: #DirectAN Rappelez-vous ce vote, leurs noms, leur applaudissements. Emportée dans une course folle avec #LR &amp; le #RN à l…",PRENDSMOIPOURUN,
"['Nice', 'GiletsJaunes']","RT @PureTele: ⚡️NICE / Vers un record de mobilisation sur le territoire 🇫🇷 ? À #Nice, les #GiletsJaunes sont très nombreux à manifester act…",Bernard20049837,
"['LoiAntiCasseurs', 'barreaudeParis']","RT @Avocats_Paris: #LoiAntiCasseurs: ⁦@BasileAder, vice-bâtonnier du #barreaudeParis, s'alarme sur ⁦@Europe1⁩ des dispositions de la loi ""a…",fabnounette58,
"['GiletsJaunes', 'Barnaba']","RT @adia66: Leaders de #GiletsJaunes, récapitulons, nous avons:
- #Barnaba payé à ne rien foutre et qui se plaint de son pouvoir d'achat
-…",BouquetErik,Tours - Le Mans- Paris
[],"RT @GiletsJaunesGo: 🔴 Saint-Aybert - Hensies 
Un blocage s’organise sur l’Autoroute A2, à la frontière franco-belge. 
https://t.co/nQVhXA9H…",Cdvdl2,
"['Paris', 'Macron', 'GreveGenerale5Fevrier']","RT @JLMelenchon: À #Paris, aux côtés des citoyennes et citoyens en lutte contre la politique de #Macron. #GreveGenerale5Fevrier #GiletsJaun…",Domiala,
[],"RT @NeoResistant: Pour une société solidaire, économe en énergie en matière première, en transports, respectueuse de son environnement, déb…",MARAVALV,
"['Lesvoixdelinfo', 'Incendie']","RT @SoMabrouk: A ce soir! 22H🕙 #Lesvoixdelinfo @CNEWS 
- #Incendie Émotion, accompagnement des familles endeuillées et hommage aux pompiers…",Touthankham2,pyramide du Louvre
"['Giletsjaunes', 'loianticasseur']","RT @RTenfrancais: Stéphane Ravier : «Cette loi anti-casseurs n’est pas anti-casseurs, elle est anti-#Giletsjaunes»

#loianticasseur @Stepha…",ThierryRouby,"Caen, Basse-Normandie"
['Rungis'],"RT @GiletsJaunes94: ⭕️ Nous sommes bien évidement présents à #Rungis pour le blocage total et la grève illimité. 

💠 Nous bloquons actuelle…",calvese,
['GiletsJaunes'],#GiletsJaunes «  Il arrive ainsi fréquemment que des sympathisants diffusent largement une photographie ou une info… https://t.co/6xWgqnMmOJ,GillesKLEIN,Paris Boston
"['GiletsJaunes', 'LoiAntiCasseur']",RT @CharlesBaudry: 🔴Les #GiletsJaunes devant l’Assemblée Nationale alors que la #LoiAntiCasseur vient d’y être votée. Les forces de l’ordre…,Malvinna_Neruda,
[],"RT @RevPermanente: Hauts de France : à la pointe de l’ouverture à la concurrence, élus et usagers grincent des dents. En plein mouvement de…",veranoaz,
[],"RT @GiletsJaunesGo: 🔴 Saint-Aybert - Hensies 
Un blocage s’organise sur l’Autoroute A2, à la frontière franco-belge. 
https://t.co/nQVhXA9H…",TheSchoot1,BOISCHAUT SUD
['Giletsjaunes'],"Esprit Ouvert
""juifs utopistes"" + hybrides reptiliens télépathiques constituent #Giletsjaunes ?… https://t.co/nSyJtBbwrM",mOvOmnivisiOn,Partout
[],"@ArianeWalter @bubzi76 Tous les médias ont appelé à voter pour Macron, on en voit le résultat . Marine Le Pen aurai… https://t.co/M3gIWiyeqa",Sigaud3,f
['Lyon'],RT @Libre_Insolent: #Lyon : la police nationale se met hors la loi en obligeant les manifestants à retirer leur gilet jaune pour circuler l…,agnes_imbert,
[],"RT @Fondapol: 📻 @DominiqueReynie est l'invité de Matthieu Belliard au Grand journal du soir sur @Europe1, aujourd'hui de 17h40 à 18h00, et…",nicobaudon,"Evreux, France"
[],"RT @patrick_edery: 📺On parle beaucoup des réseaux sociaux, mais la TV reste LE principal outil de manipulation des masses!
Il suffit que le…",BrelDominique,
"['GiletsJaunes', 'taxecarbone', 'CARBURANTS']","RT @P_tweet_presse: [ #GiletsJaunes #taxecarbone ] 

⚡️📣 TAXES SUR LES #CARBURANTS : Des députés veulent poursuivre l’augmentation ↗️. Leur…",P_tweet_presse,"Nice, France"
"['Cheminade', 'Venezuela', 'EmmanuelMacron', 'pétrole', 'répression', 'GiletsJaunes']","RT @JCheminade: Déclaration de Jacques #Cheminade 
#Venezuela #EmmanuelMacron #pétrole #répression #GiletsJaunes
https://t.co/0sE54xerIT",BCarail,
"['GiletsJaunes', 'GiletsRouges', 'GreveGenerale5fevrier', 'greve5fevrier']",RT @RevPermanente: Blocage du port de Bayonne. #GiletsJaunes et #GiletsRouges convergence! #GreveGenerale5fevrier #greve5fevrier  https://t…,veranoaz,
['GiletsJaunes'],"@Europe1 Il remonte chaque semaine depuis le 17 Novembre 2018, et la mobilisation des #GiletsJaunes baisse chaque s… https://t.co/lZbRhxXKhN",Maguro41007201,United States
[],"RT @GiletsJaunesGo: 🔴 Saint-Aybert - Hensies 
Un blocage s’organise sur l’Autoroute A2, à la frontière franco-belge. 
https://t.co/nQVhXA9H…",Sansan64005847,
['Médiapart'],"RT @GiletsJaunesGo: 🔴 Ce soir, une centaine de gilets jaunes étaient présents au pied du siège de #Médiapart pour leur affirmer de leur sou…",Abo3Steph,
"['GreveGenerale', 'GiletsJaunes']","@PureTele Tous ensemble
#GreveGenerale 
#GiletsJaunes",Bernard20049837,
"['Benalla', 'Macron']","RT @BBR4369: 📽️ 🎶 ""#Benalla, Benalla, même si vous n'en voulez pas, y'a Benalla.. Il n'ira pas en prison, parce que c'est le Pote à #Macron…",PascalRousselot,
[],"RT @ChtiKhayyam: Lille : la police arrose la Grande place de lacrymo. Plusieurs centaines de manifestants partent alors en sauvage. 

#Lill…",KerangLe,
"['LBD', 'LBD40', 'GiletsJaunes', 'Acte12', 'acte13']","RT @QuiDerange: Faut il interdire l’usage du lanceur de balles défensives #LBD #LBD40 ?

VOTE 🗳 ET RETWEET 🔁
#GiletsJaunes #Acte12 #acte13…",christ69007,lyon 7 et Verdun sur le doubs 
[],"RT @tcabarrus: En attendant des chiffres précis, et au vu des photos qui circulent sur internet, on peut dire que c'est un vrai flop. Et qu…",Paupol_du_Panie,
"['GiletsJaunes', 'giletsRouges']","RT @GaetanEscorbiac: Ces gilets jaunes appellent au boycott d'Amazon après plusieurs licenciements.

#GiletsJaunes #giletsRouges #GreveGene…",MANOUCHKYA,BORDEAUX FRANCE
