,tweet,retweets
21416,La cause vénézuélienne est louable mais comment se fait-il qu’@EmmanuelMacron y joue les moralisateurs alors que son pays est occupé par les #Giletsjaunes ? En agissant ainsi tend le bâton pour se faire battre alors que la France est actuellement la risée du monde.,506
21406,#GiletsJaunes,248
21386,"Le Gilet Jaune Maxime Nicolle nous expliquait samedi que le vrai complotiste, c'est Macron !",226
21385,ON A UN PRÉSIDENT QUI FAIT DU COMPLOTISME ,226
21387,#GiletsJaunes #Acte12 #ActeXII #Complotisme https://t.co/Gr8cr27ang,219
21373,SONDAGE EXCLUSIF - Le soutien aux #GiletsJaunes ne se dément pas avant l' #ActeXIII: près de 65% des Français soutiennent le mouvement https://t.co/8xv7jVbs3F,153
21412,"Alors qu'il donnait un discours de clôture au colloque ""Claude Érignac"", rassemblement de préfets, Castaner a été interpelé par des étudiants, venus lui montrer les violences policières que le ministre prétend ne pas voir. #ViolencesPolicieres #GiletsJaunes #Sorbonne #Castaner https://t.co/qHMBVv5jc1",134
21202,#ActeXIII,119
21195,"⚡🇫🇷|🇮🇹FLASH - Crise diplomatique entre #Rome et Paris. La France rappelle son ambassadeur. La FR dénonce une série de ""déclarations outrancières"", ""d'attaques sans fondement"". Le vice-président du conseil italien Luigi Di Maio a notamment rencontré des #Giletsjaunes mardi. (E1)",108
21311,➡️ Ma question à @CCastaner représenté cette nuit par  @NunezLaurent dans l’hémicycle. https://t.co/kxvFRRG2Z8,106
21310,🎙 #DériveAutoritaire : Votre devoir est de veiller à ce que l’on puisse manifester contre votre propre politique ! Pas de réprimer les manifestations ! #GiletsJaunes,106
19021,"CRS pendant 22 ans : Collègues , «Je vous demande de vous arrêter» .",100
19022,https://t.co/nRcP1Y9b3v,100
19023,#GiletJaune #GiletsJaunes #assembleenationale #senat #droitsdelhomme #Amnestyinternational #ViolencesPolicieres #acte #TF1 #France2 #BFM #CNN #TV5 #CBSNews #RTFrance #LCI #Cnews https://t.co/uxxnr5mJix,100
20479,Ce serait Quand même Le gag que le mouvement des #giletsjaunes né sur le ras-le-bol fiscal débouche sur de nouvelles hausses d'impôts @ParisMatch https://t.co/xKMVrmtGeD,93
21098,"Michel #Onfray lit son dernier texte, où il se penche sur les moyens répressifs employés par @EmmanuelMacron pour décrédibiliser et démoraliser les #GiletsJaunes depuis le début du mouvement.",87
21099,La lecture est ici ▶ https://t.co/b4u9ikzvJ7 https://t.co/VJh6ljrgnd,87
21148,"J'étais à la rue avec mon fils, alors que les immigrés sont logés dans les hôtels à 1200€ par mois ! Marilyse, biterroise gilet jaune. #GrandDebatBeziers #Béziers #GiletsJaunes https://t.co/EloerJJi9g",80
21415,À tous ceux qui expliquent que les #GiletsJaunes ne représentent rien : ils sont toujours soutenus par 70% des Français après 3 mois !! Inefficacité totale du #GrandDébat et camouflet pour #Macron. #ActeXIII  https://t.co/mTVp5wzPP2,77
21332,Un étudiant de la Sorbonne rappel les bavures policières durant les manifestations des gilets jaunes à @CCastaner au milieu d’un colloque ! #GiletsJaunes #sorbonne #Castaner https://t.co/Au7fITQkeX,76
18672,"27 % des Français pensent que Les Illuminati existent, 25 % croient au grand remplacement, 22 % sont persuadés qu'il existe un complot sioniste, 43 % jugent que le gouvernement cache la nocivité des vaccins . Ça éclaire les #giletsjaunes😂 https://t.co/7vfS5Wvpcd",75
20382,#Acte13,75
19539,"96% des #LREM, ",69
19535,Une enquête #IFOP publiée le 4 février et passée sous silence. On comprend pourquoi,69
19541,Seuls les #RN font partie de ceux à les soutenir majoritairement avec 54%,69
19538,"75% des #Socialistes, ",69
21380," J'étais à la rue avec mon fils , alors que les immigrés sont logés dans les hôtels à 1200 euros par mois !  Marylise , biterroise gilet jaune #GrandDebatNational #Beziers #GiletsJaunes ",69
21381,https://t.co/KltoVVrML1 https://t.co/omMfqMSzSX,69
19540,81% des #LR,69
19537,C'est le cas de ,69
19536,53% des #Insoumis ne soutiennent pas les #GiletsJaunes,69
21264,"Avant Acte XIII, le soutien aux #GiletsJaunes ne se dément pas 77% des Français trouvent ce mouvement justifié - #SONDAGE EXCLUSIF | Le Huffington Post 👏 https://t.co/qPWR2JUDbc",63
21342,#Paris https://t.co/y4AYYuf2c4,63
21341,"Le policier énervé décide d'aller ailleurs et dit ""en plus vous avez plein de vitre, c'est parfait"".",63
21340,"🇨🇵 [FLASH] - Un boulanger a refusé l'accès à un policier de la #BAC, lors de l'#ActeXII des #GiletsJaunes, car il était cagoulé et son arme était apparente. ",63
21301,#ActeXIII #Acte13 #9Février #France,60
21300,Participerez-vous ce samedi 9 février à l’Acte XIII des Gilets Jaunes ?,60
21360,64% des Français 🇫🇷 soutiennent les #Giletsjaunes et 77% jugent la mobilisation justifiée,60
21361,➡️ https://t.co/hjsvzalTGb https://t.co/NUCGkSlyBn,60
18442,"Plus de 3000 blessés graves lors des #GiletsJaunes, 44 journalistes blessés, 37 lycéens et mineurs, 17 éborgnés, 4 mains arrachées, c'est inédit ! @CCastaner il est temps que le gouvernement agisse politiquement ou sa complicité sera engagée ! #LBD40 https://t.co/gqGSv82vcR",60
21299,📊 [#Sondage] - « #GiletsJaunes »,60
21129,#GiletJaune #GiletsJaunes #assembleenationale #senat #droitsdelhomme #Amnestyinternational #BFM #CNN #CBSNews #RTFrance https://t.co/4TB4DkBfFx,58
21128,"Les opposants politiques à cette dictature financière sont alors arrêtés et fichés en tant que ""casseurs"" afin de maintenir l'illusion d'un cadre démocratique.",58
20154, https://t.co/yiuxOeMMWL,56
20150,💥FLASH INFO #Paris- #sorbonne / Des #GiletsJaunes et #Etudiants réunis devant la #Sorbonne contre la venue du ministre de l’intérieur Christophe #Castaner  @CCastaner !,56
20151,On va voir si ce larbin #LREM va se défiler face aux #GJ !😂😂😂,56
20973,➡️ https://t.co/iqAy8WT9jT https://t.co/Z8yYzBzFZ6,55
20972,🔴 La rencontre entre des #Giletsjaunes et Luigi Di Maio est une «provocation inacceptable» pour #Paris,55
17713,#Lyon : la police nationale se met hors la loi en obligeant les manifestants à retirer leur gilet jaune pour circuler librement dans la manifestation #GreveGenerale5fevrier #GiletsJaunes @davduf #GreveGenerale https://t.co/GccsIBerzj,55
21028,https://t.co/z0nnXiqLq7,54
21027,Cc @CCastaner @BGriveaux,54
21026,Qui disait déjà que le soutien était en baisse ?,54
21025,64% des Français soutiennent les #GiletsJaunes et 77% jugent la mobilisation justifiée...,54
21313,La caravane publicitaire #Macron suit son chemin et sera aujourd'hui à #Autun pour raison de propagande électorale européenne et tentative de re-dorage de blason... les #GiletsJaunes veillent https://t.co/ZiPRerCTzu,54
21384,"Mise sur écoute de 150 #Giletsjaunes , adoption d’une loi anti manif, tentative de perquisition à #Mediapart et le numéro 2 liste ⁦France Insoumise⁩ ⁦@mbompard⁩ perquisitionné ce matin... Si avec ça vous ne la voyez pas la dérive autoritaire  https://t.co/KOfmD5Hod8",53
10376,⚡️PARIS - SORBONNE / Des #GiletsJaunes et étudiants réunis devant la #Sorbonne contre la venue du ministre de l’intérieur Christophe #Castaner ,52
10377,https://t.co/mkdRhna4A5 https://t.co/hfvXshPZEc,52
21247,"A 2 jours de #ActeXIII, et malgré le #GrandDébat, ça peut être rassurant.",51
21248,https://t.co/MgOr8GLqSv,51
20744,#GiletsJaunes ,51
21246,"77% des Français trouvent que la mobilisation des #GiletsJaunes est justifiée (+3), tandis que 20% trouvent cette ""fronde"" injustifiée (en gros les #LREM).",51
20356,📽️ ⚠️ #GreveGenerale5fevrier «La police bloquait les #GiletsJaunes à #Lyon pour qu'ils ôtent leurs #GiletJaune alors qu'ils laissaient circuler librement les autres Manifestants»,50
21224,"Dis papa , tu faisais quoi pendant les ""Gilets Jaunes"" ?",50
20357,Un Mot Matignon 🤔 sur cette entrave à circuler.,50
20358,Un Mot la Cour à #Macron,50
20359,https://t.co/IU232AhYpT,50
21225,#GiletJaune #GiletsJaunes #assembleenationale #senat #droitsdelhomme #Amnestyinternational #ViolencesPolicieres #acte #TF1 #France2 #BFM #CNN #TV5 #CBSNews #RTFrance #LCI #Cnews https://t.co/39qEiktcMv,50
18240,"📹 « Le mouvement des #GiletsJaunes est né d'un ras-le-bol fiscal. Et quelle est la réponse du gouvernement ? La suppression de certaines niches fiscales, c'est-à-dire en réalité... une augmentation des impôts ! » #8h30Politique https://t.co/XzvXj89L9Y",50
16907,"Si @EmmanuelMacron allait faire son plein, il verrait que les #GiletsJaunes et les français payent aussi cher ce matin que le 17 novembre. Enfumage d état.",48
10397,"Je mets en garde les #GiletsJaunes contre la tentation d'un rapprochement avec les syndicats, qui sont restés inertes face à la réforme du travail dont le but est de payer la compétitivité avec la paupérisation des salariés. Rentrez dans le système et le système vous tuera. https://t.co/EYyGwy71Qm",47
21226,"🇫🇷 [#ActeXII] Samedi, à #Montpellier, un échange étonnant a eu lieu entre un gendarme et des #GiletsJaunes : le militaire affirme qu'ils « n'ont rien contre eux » et que « toutes leurs familles les soutiennent » mais qu'ils doivent « obéir aux ordres ». https://t.co/0P66AXHxQn",47
21410, https://t.co/mreUCKXR2S,46
21409,;),46
21408,120000€,46
20933,"Souvent la France fut regardée comme un phare et un modèle. Ses élites décadentes n'inspirant plus nulle part, son peuple a pris la relève !",46
20934,Steve Bannon : « #EmmanuelMacron est un pantin .../... les #GiletsJaunes sont une inspiration pour le monde »,46
21407,Leetchi affirme que l'organisateur de la cagnotte a demandé le virement/fonds sur un compte autre que celui initialement prévu et n'a pas fourni les devis d'honoraires d'avocats correspondant à l'objet de la cagnotte ,46
21405,🔴#Justice ,46
20935,https://t.co/fC301nODK8,46
20409, https://t.co/4rXDmKRjJv,45
20408,"64% des #Français soutiennent toujours les #GiletsJaunes et la cote de #Macron reste stable, avec seulement 21% de jugements favorables sur son action et 73% (+1) d'avis défavorables contrairement à ce qu' affichent d'autres sondages récents. ",45
21078,"📹 « A l'Assemblée, nous avons voté contre le texte de la ""#LoiAntiCasseurs"", car il est éminemment dangereux et menace nos grandes libertés individuelles. Ce n'est pas une loi anti-casseurs, c'est une loi anti-#GiletsJaunes ! » #8h30Politique https://t.co/nI44PMkQBA",43
20671,Résumons :,42
20675,-Et l'opposition - @mbompard,42
