,tweet,retweets
9798,La cause vénézuélienne est louable mais comment se fait-il qu’@EmmanuelMacron y joue les moralisateurs alors que son pays est occupé par les #Giletsjaunes ? En agissant ainsi tend le bâton pour se faire battre alors que la France est actuellement la risée du monde.,506
20381,#GiletsJaunes,248
15712,"Le Gilet Jaune Maxime Nicolle nous expliquait samedi que le vrai complotiste, c'est Macron !",226
14436,ON A UN PRÉSIDENT QUI FAIT DU COMPLOTISME ,226
10644,SONDAGE EXCLUSIF - Le soutien aux #GiletsJaunes ne se dément pas avant l' #ActeXIII: près de 65% des Français soutiennent le mouvement ,153
12717,"Alors qu'il donnait un discours de clôture au colloque ""Claude Érignac"", rassemblement de préfets, Castaner a été interpelé par des étudiants, venus lui montrer les violences policières que le ministre prétend ne pas voir. #ViolencesPolicieres #GiletsJaunes #Sorbonne #Castaner ",134
8409,#ActeXIII,119
20875,"⚡🇫🇷|🇮🇹FLASH - Crise diplomatique entre #Rome et Paris. La France rappelle son ambassadeur. La FR dénonce une série de ""déclarations outrancières"", ""d'attaques sans fondement"". Le vice-président du conseil italien Luigi Di Maio a notamment rencontré des #Giletsjaunes mardi. (E1)",108
15836,➡️ Ma question à @CCastaner représenté cette nuit par  @NunezLaurent dans l’hémicycle. ,106
8490,🎙 #DériveAutoritaire : Votre devoir est de veiller à ce que l’on puisse manifester contre votre propre politique ! Pas de réprimer les manifestations ! #GiletsJaunes,106
8774,"CRS pendant 22 ans : Collègues , «Je vous demande de vous arrêter» .",100
9573,Ce serait Quand même Le gag que le mouvement des #giletsjaunes né sur le ras-le-bol fiscal débouche sur de nouvelles hausses d'impôts @ParisMatch ,93
8540,"Michel #Onfray lit son dernier texte, où il se penche sur les moyens répressifs employés par @EmmanuelMacron pour décrédibiliser et démoraliser les #GiletsJaunes depuis le début du mouvement.",87
15982,La lecture est ici ▶  ,87
10529,"J'étais à la rue avec mon fils, alors que les immigrés sont logés dans les hôtels à 1200€ par mois ! Marilyse, biterroise gilet jaune. #GrandDebatBeziers #Béziers #GiletsJaunes ",80
11551,À tous ceux qui expliquent que les #GiletsJaunes ne représentent rien : ils sont toujours soutenus par 70% des Français après 3 mois !! Inefficacité totale du #GrandDébat et camouflet pour #Macron. #ActeXIII  ,77
15089,Un étudiant de la Sorbonne rappel les bavures policières durant les manifestations des gilets jaunes à @CCastaner au milieu d’un colloque ! #GiletsJaunes #sorbonne #Castaner ,76
1459,#Acte13,75
2590,C'est le cas de ,69
19535,Une enquête #IFOP publiée le 4 février et passée sous silence. On comprend pourquoi,69
6087,53% des #Insoumis ne soutiennent pas les #GiletsJaunes,69
19540,81% des #LR,69
19539,"96% des #LREM, ",69
19538,"75% des #Socialistes, ",69
17282," J'étais à la rue avec mon fils , alors que les immigrés sont logés dans les hôtels à 1200 euros par mois !  Marylise , biterroise gilet jaune #GrandDebatNational #Beziers #GiletsJaunes ",69
19541,Seuls les #RN font partie de ceux à les soutenir majoritairement avec 54%,69
